dc_price_gbp_per_mw_h,dc_revenue_gbp,net_vs_perfect_gbp,net_vs_realistic_gbp
0.0,0.0,-5369.0,130.0
0.25,180.0,-5189.0,310.0
0.5,360.0,-5009.0,490.0
0.75,540.0,-4829.0,670.0
1.0,720.0,-4649.0,850.0
1.25,900.0,-4469.0,1030.0
1.5,1080.0,-4289.0,1210.0
1.75,1260.0,-4109.0,1390.0
2.0,1440.0,-3929.0,1570.0
2.25,1620.0,-3749.0,1750.0
2.5,1800.0,-3569.0,1930.0
2.75,1980.0,-3389.0,2110.0
3.0,2160.0,-3209.0,2290.0
3.25,2340.0,-3029.0,2470.0
3.5,2520.0,-2849.0,2650.0
3.75,2700.0,-2669.0,2830.0
4.0,2880.0,-2489.0,3010.0
4.25,3060.0,-2309.0,3190.0
4.5,3240.0,-2129.0,3370.0
4.75,3420.0,-1949.0,3550.0
5.0,3600.0,-1769.0,3730.0
5.25,3780.0,-1589.0,3910.0
5.5,3960.0,-1409.0,4090.0
5.75,4140.0,-1229.0,4270.0
6.0,4320.0,-1049.0,4450.0
6.25,4500.0,-869.0,4630.0
6.5,4680.0,-689.0,4810.0
6.75,4860.0,-509.0,4990.0
7.0,5040.0,-329.0,5170.0
7.25,5220.0,-149.0,5350.0
7.5,5400.0,31.0,5530.0
7.75,5580.0,211.0,5710.0
8.0,5760.0,391.0,5890.0
8.25,5940.0,571.0,6070.0
8.5,6120.0,751.0,6250.0
8.75,6300.0,931.0,6430.0
9.0,6480.0,1111.0,6610.0
9.25,6660.0,1291.0,6790.0
9.5,6840.0,1471.0,6970.0
9.75,7020.0,1651.0,7150.0
10.0,7200.0,1831.0,7330.0
10.25,7380.0,2011.0,7510.0
10.5,7560.0,2191.0,7690.0
10.75,7740.0,2371.0,7870.0
11.0,7920.0,2551.0,8050.0
11.25,8100.0,2731.0,8230.0
11.5,8280.0,2911.0,8410.0
11.75,8460.0,3091.0,8590.0
12.0,8640.0,3271.0,8770.0
12.25,8820.0,3451.0,8950.0
12.5,9000.0,3631.0,9130.0
12.75,9180.0,3811.0,9310.0
13.0,9360.0,3991.0,9490.0
13.25,9540.0,4171.0,9670.0
13.5,9720.0,4351.0,9850.0
13.75,9900.0,4531.0,10030.0
14.0,10080.0,4711.0,10210.0
14.25,10260.0,4891.0,10390.0
14.5,10440.0,5071.0,10570.0
14.75,10620.0,5251.0,10750.0
15.0,10800.0,5431.0,10930.0
15.25,10980.0,5611.0,11110.0
15.5,11160.0,5791.0,11290.0
15.75,11340.0,5971.0,11470.0
16.0,11520.0,6151.0,11650.0
16.25,11700.0,6331.0,11830.0
16.5,11880.0,6511.0,12010.0
16.75,12060.0,6691.0,12190.0
17.0,12240.0,6871.0,12370.0
17.25,12420.0,7051.0,12550.0
17.5,12600.0,7231.0,12730.0
17.75,12780.0,7411.0,12910.0
18.0,12960.0,7591.0,13090.0
18.25,13140.0,7771.0,13270.0
18.5,13320.0,7951.0,13450.0
18.75,13500.0,8131.0,13630.0
19.0,13680.0,8311.0,13810.0
19.25,13860.0,8491.0,13990.0
19.5,14040.0,8671.0,14170.0
19.75,14220.0,8851.0,14350.0
20.0,14400.0,9031.0,14530.0
